# Frequency [GHz]	 	DipolX [Ohm/m]	  	DipolY [Ohm/m]	 	QuadX [Ohm/m]	 	QuadY [Ohm/m]
 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+15571.00000000000000j)	 (0.00000000000000+76035.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00000100000000+0.00000000000000j)	 (-0.11896459227468+15570.72304184549284j)	 (-0.58092811158798+76033.64773336910002j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00000200000000+0.00000000000000j)	 (-0.23792918454936+15570.44608369098751j)	 (-1.16185622317597+76032.29546673820005j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00000300000000+0.00000000000000j)	 (-0.35689377682403+15570.16912553648035j)	 (-1.74278433476395+76030.94320010730007j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00000400000000+0.00000000000000j)	 (-0.47585836909871+15569.89216738197501j)	 (-2.32371244635193+76029.59093347640010j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00000500000000+0.00000000000000j)	 (-0.59482296137339+15569.61520922746786j)	 (-2.90464055793991+76028.23866684550012j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00000600000000+0.00000000000000j)	 (-0.71378755364807+15569.33825107296070j)	 (-3.48556866952790+76026.88640021458559j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00000700000000+0.00000000000000j)	 (-0.83275214592275+15569.06129291845536j)	 (-4.06649678111588+76025.53413358368562j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00000800000000+0.00000000000000j)	 (-0.95171673819742+15568.78433476394821j)	 (-4.64742489270386+76024.18186695278564j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00000900000000+0.00000000000000j)	 (-1.07068133047210+15568.50737660944287j)	 (-5.22835300429185+76022.82960032188566j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00001000000000+0.00000000000000j)	 (-1.18964592274678+15568.23041845493572j)	 (-5.80928111587983+76021.47733369098569j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00001100000000+0.00000000000000j)	 (-1.30861051502146+15567.95346030042856j)	 (-6.39020922746781+76020.12506706008571j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00001200000000+0.00000000000000j)	 (-1.42757510729614+15567.67650214592322j)	 (-6.97113733905579+76018.77280042918574j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00001300000000+0.00000000000000j)	 (-1.54653969957082+15567.39954399141607j)	 (-7.55206545064378+76017.42053379828576j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00001400000000+0.00000000000000j)	 (-1.66550429184549+15567.12258583691073j)	 (-8.13299356223176+76016.06826716738578j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00001500000000+0.00000000000000j)	 (-1.78446888412017+15566.84562768240357j)	 (-8.71392167381974+76014.71600053648581j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00001600000000+0.00000000000000j)	 (-1.90343347639485+15566.56866952789642j)	 (-9.29484978540773+76013.36373390558583j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00001700000000+0.00000000000000j)	 (-2.02239806866953+15566.29171137339108j)	 (-9.87577789699571+76012.01146727467130j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00001800000000+0.00000000000000j)	 (-2.14136266094421+15566.01475321888393j)	 (-10.45670600858369+76010.65920064377133j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00001900000000+0.00000000000000j)	 (-2.26032725321888+15565.73779506437859j)	 (-11.03763412017167+76009.30693401287135j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002000000000+0.00000000000000j)	 (-2.37929184549356+15565.46083690987143j)	 (-11.61856223175966+76007.95466738197138j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002100000000+0.00000000000000j)	 (-2.49825643776824+15565.18387875536428j)	 (-12.19949034334764+76006.60240075107140j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002200000000+0.00000000000000j)	 (-2.61722103004292+15564.90692060085894j)	 (-12.78041845493562+76005.25013412017142j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002300000000+0.00000000000000j)	 (-2.73618562231760+15564.62996244635178j)	 (-13.36134656652361+76003.89786748927145j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002400000000+0.00000000000000j)	 (-2.85515021459228+15564.35300429184463j)	 (-13.94227467811159+76002.54560085837147j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002500000000+0.00000000000000j)	 (-2.97411480686695+15564.07604613733929j)	 (-14.52320278969957+76001.19333422747150j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002600000000+0.00000000000000j)	 (-3.09307939914163+15563.79908798283213j)	 (-15.10413090128755+75999.84106759657152j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002700000000+0.00000000000000j)	 (-3.21204399141631+15563.52212982832680j)	 (-15.68505901287554+75998.48880096567154j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002800000000+0.00000000000000j)	 (-3.33100858369099+15563.24517167381964j)	 (-16.26598712446352+75997.13653433475702j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002900000000+0.00000000000000j)	 (-3.44997317596567+15562.96821351931249j)	 (-16.84691523605150+75995.78426770385704j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00003000000000+0.00000000000000j)	 (-3.56893776824034+15562.69125536480715j)	 (-17.42784334763948+75994.43200107295706j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00003100000000+0.00000000000000j)	 (-3.68790236051502+15562.41429721029999j)	 (-18.00877145922747+75993.07973444205709j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00003200000000+0.00000000000000j)	 (-3.80686695278970+15562.13733905579465j)	 (-18.58969957081545+75991.72746781115711j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00003300000000+0.00000000000000j)	 (-3.92583154506438+15561.86038090128750j)	 (-19.17062768240343+75990.37520118025714j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00003400000000+0.00000000000000j)	 (-4.04479613733906+15561.58342274678034j)	 (-19.75155579399142+75989.02293454935716j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00003500000000+0.00000000000000j)	 (-4.16376072961373+15561.30646459227501j)	 (-20.33248390557940+75987.67066791845718j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00003600000000+0.00000000000000j)	 (-4.28272532188841+15561.02950643776785j)	 (-20.91341201716738+75986.31840128755721j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00003700000000+0.00000000000000j)	 (-4.40168991416309+15560.75254828326251j)	 (-21.49434012875536+75984.96613465665723j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00003800000000+0.00000000000000j)	 (-4.52065450643777+15560.47559012875536j)	 (-22.07526824034334+75983.61386802575726j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00003900000000+0.00000000000000j)	 (-4.63961909871245+15560.19863197424820j)	 (-22.65619635193133+75982.26160139484273j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00004000000000+0.00000000000000j)	 (-4.75858369098713+15559.92167381974286j)	 (-23.23712446351931+75980.90933476394275j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00004100000000+0.00000000000000j)	 (-4.87754828326180+15559.64471566523571j)	 (-23.81805257510730+75979.55706813304278j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00004200000000+0.00000000000000j)	 (-4.99651287553648+15559.36775751073037j)	 (-24.39898068669528+75978.20480150214280j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00004300000000+0.00000000000000j)	 (-5.11547746781116+15559.09079935622321j)	 (-24.97990879828326+75976.85253487124282j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00004400000000+0.00000000000000j)	 (-5.23444206008584+15558.81384120171606j)	 (-25.56083690987125+75975.50026824034285j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00004500000000+0.00000000000000j)	 (-5.35340665236052+15558.53688304721072j)	 (-26.14176502145922+75974.14800160944287j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00004600000000+0.00000000000000j)	 (-5.47237124463519+15558.25992489270357j)	 (-26.72269313304721+75972.79573497854290j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00004700000000+0.00000000000000j)	 (-5.59133583690987+15557.98296673819823j)	 (-27.30362124463519+75971.44346834764292j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00004800000000+0.00000000000000j)	 (-5.71030042918455+15557.70600858369107j)	 (-27.88454935622318+75970.09120171674294j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00004900000000+0.00000000000000j)	 (-5.82926502145923+15557.42905042918392j)	 (-28.46547746781116+75968.73893508584297j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00005000000000+0.00000000000000j)	 (-5.94822961373391+15557.15209227467858j)	 (-29.04640557939914+75967.38666845492844j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00005100000000+0.00000000000000j)	 (-6.06719420600858+15556.87513412017142j)	 (-29.62733369098713+75966.03440182402846j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00005200000000+0.00000000000000j)	 (-6.18615879828326+15556.59817596566609j)	 (-30.20826180257511+75964.68213519312849j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00005300000000+0.00000000000000j)	 (-6.30512339055794+15556.32121781115893j)	 (-30.78918991416309+75963.32986856222851j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00005400000000+0.00000000000000j)	 (-6.42408798283262+15556.04425965665178j)	 (-31.37011802575107+75961.97760193132854j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00005500000000+0.00000000000000j)	 (-6.54305257510730+15555.76730150214644j)	 (-31.95104613733906+75960.62533530042856j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00005600000000+0.00000000000000j)	 (-6.66201716738198+15555.49034334763928j)	 (-32.53197424892704+75959.27306866952858j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00005700000000+0.00000000000000j)	 (-6.78098175965665+15555.21338519313394j)	 (-33.11290236051502+75957.92080203862861j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00005800000000+0.00000000000000j)	 (-6.89994635193133+15554.93642703862679j)	 (-33.69383047210301+75956.56853540772863j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00005900000000+0.00000000000000j)	 (-7.01891094420601+15554.65946888411963j)	 (-34.27475858369099+75955.21626877682866j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00006000000000+0.00000000000000j)	 (-7.13787553648069+15554.38251072961430j)	 (-34.85568669527897+75953.86400214592868j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00006100000000+0.00000000000000j)	 (-7.25684012875537+15554.10555257510714j)	 (-35.43661480686696+75952.51173551502870j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00006200000000+0.00000000000000j)	 (-7.37580472103004+15553.82859442059998j)	 (-36.01754291845494+75951.15946888411418j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00006300000000+0.00000000000000j)	 (-7.49476931330472+15553.55163626609465j)	 (-36.59847103004292+75949.80720225321420j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00006400000000+0.00000000000000j)	 (-7.61373390557940+15553.27467811158749j)	 (-37.17939914163090+75948.45493562231422j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00006500000000+0.00000000000000j)	 (-7.73269849785408+15552.99771995708215j)	 (-37.76032725321888+75947.10266899141425j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00006600000000+0.00000000000000j)	 (-7.85166309012876+15552.72076180257500j)	 (-38.34125536480686+75945.75040236051427j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
